City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
0,Paita,-5.0892,-81.1144,82.4,61,0,11.5,clear sky,PE,2021-04-10 21:29:56
1,Tiarei,-17.5333,-149.3333,87.8,62,75,5.75,light rain,PF,2021-04-10 21:29:57
2,Dingle,10.9995,122.6711,74.73,87,68,6.02,light rain,PH,2021-04-10 21:29:57
3,Punta Arenas,-53.15,-70.9167,53.6,58,40,6.91,scattered clouds,CL,2021-04-10 21:26:00
4,Rikitea,-23.1203,-134.9692,78.73,72,0,10.02,light rain,PF,2021-04-10 21:29:57
5,Durant,33.994,-96.3708,71.6,33,1,17.27,clear sky,US,2021-04-10 21:29:58
6,Mataura,-46.1927,168.8643,60.01,91,65,3.0,broken clouds,NZ,2021-04-10 21:29:58
7,Pevek,69.7008,170.3133,-18.06,95,85,1.88,overcast clouds,RU,2021-04-10 21:29:58
8,Hermanus,-34.4187,19.2345,61.0,91,100,1.01,overcast clouds,ZA,2021-04-10 21:29:59
9,Hilo,19.7297,-155.09,77.0,57,75,8.05,broken clouds,US,2021-04-10 21:29:59
10,Kapaa,22.0752,-159.319,77.0,57,75,10.36,broken clouds,US,2021-04-10 21:29:59
11,Chokurdakh,70.6333,147.9167,-28.35,100,100,1.68,overcast clouds,RU,2021-04-10 21:30:00
12,Flin Flon,54.7682,-101.865,41.0,48,75,11.5,broken clouds,CA,2021-04-10 21:30:00
13,Sitka,57.0531,-135.33,35.6,64,90,12.66,light snow,US,2021-04-10 21:30:01
14,Vila Franca Do Campo,37.7167,-25.4333,62.6,94,75,9.22,mist,PT,2021-04-10 21:30:01
15,Esperance,-33.8667,121.9,57.2,88,98,11.5,overcast clouds,AU,2021-04-10 21:30:02
16,Lavrentiya,65.5833,-171.0,-2.34,77,100,17.69,overcast clouds,RU,2021-04-10 21:30:02
17,Panjab,34.388,67.0233,38.7,86,97,1.12,overcast clouds,AF,2021-04-10 21:30:03
18,Waipawa,-41.4122,175.5153,68.0,73,75,14.97,broken clouds,NZ,2021-04-10 21:30:03
19,Nyimba,-14.5566,30.8149,62.73,71,91,3.78,overcast clouds,ZM,2021-04-10 21:30:03
20,Port-Gentil,-0.7193,8.7815,82.4,78,40,4.61,scattered clouds,GA,2021-04-10 21:30:04
21,Sarkand,45.41,79.9186,46.81,45,91,4.79,overcast clouds,KZ,2021-04-10 21:30:04
22,Albany,42.6001,-73.9662,78.01,36,10,5.75,clear sky,US,2021-04-10 21:27:11
23,Punta De Piedra,7.6176,-71.4916,75.18,91,100,2.8,overcast clouds,VE,2021-04-10 21:30:05
24,Kommunar,59.6206,30.39,32.0,80,0,4.47,clear sky,RU,2021-04-10 21:30:05
25,Kirakira,-10.4544,161.9205,82.51,74,98,5.7,overcast clouds,SB,2021-04-10 21:30:06
26,Bredasdorp,-34.5322,20.0403,59.0,94,100,3.44,overcast clouds,ZA,2021-04-10 21:30:06
27,Cidreira,-30.1811,-50.2056,75.43,79,99,10.04,overcast clouds,BR,2021-04-10 21:30:06
28,Tiksi,71.6872,128.8694,-12.33,96,41,5.08,scattered clouds,RU,2021-04-10 21:30:07
29,Castro,-24.7911,-50.0119,66.42,60,0,3.91,clear sky,BR,2021-04-10 21:28:07
30,Busselton,-33.65,115.3333,62.01,79,100,8.99,light rain,AU,2021-04-10 21:30:07
31,Tuktoyaktuk,69.4541,-133.0374,-14.8,70,20,10.36,few clouds,CA,2021-04-10 21:30:08
32,Novyye Lyady,58.0536,56.6039,35.6,100,0,4.47,clear sky,RU,2021-04-10 21:30:08
33,Channel-Port Aux Basques,47.5702,-59.1367,32.0,76,98,16.71,overcast clouds,CA,2021-04-10 21:30:08
34,Ushuaia,-54.8,-68.3,51.8,58,40,6.91,scattered clouds,AR,2021-04-10 21:30:09
35,Seoul,37.5683,126.9778,42.8,93,10,2.3,mist,KR,2021-04-10 21:30:09
36,Muleba,-1.8397,31.6544,73.4,83,75,11.5,broken clouds,TZ,2021-04-10 21:30:10
37,Tupancireta,-29.0806,-53.8358,75.96,56,98,2.82,overcast clouds,BR,2021-04-10 21:30:10
38,Hovd,48.0056,91.6419,29.21,57,100,6.96,overcast clouds,MN,2021-04-10 21:30:11
39,Saskylakh,71.9167,114.0833,-2.92,83,57,10.78,broken clouds,RU,2021-04-10 21:30:11
40,Yangambi,0.8102,24.4336,70.2,98,100,5.23,light rain,CD,2021-04-10 21:30:11
41,Qaanaaq,77.484,-69.3632,18.01,83,100,5.35,overcast clouds,GL,2021-04-10 21:30:12
42,Ballybofey,54.8,-7.7833,30.87,78,31,4.12,scattered clouds,IE,2021-04-10 21:30:12
43,Coihaique,-45.5752,-72.0662,51.8,66,75,8.05,broken clouds,CL,2021-04-10 21:30:12
44,Hampton,37.0299,-76.3452,75.2,73,1,6.91,clear sky,US,2021-04-10 21:28:34
45,Hobart,-42.8794,147.3294,44.6,76,75,16.11,light rain,AU,2021-04-10 21:29:23
46,Ilulissat,69.2167,-51.1,21.2,86,90,2.64,overcast clouds,GL,2021-04-10 21:30:13
47,Trairi,-3.2778,-39.2689,80.38,80,37,9.95,scattered clouds,BR,2021-04-10 21:30:14
48,Tsaritsani,39.8833,22.2333,46.99,70,0,2.13,clear sky,GR,2021-04-10 21:30:14
49,Avarua,-21.2078,-159.775,82.4,83,40,5.75,scattered clouds,CK,2021-04-10 21:30:14
50,Atuona,-9.8,-139.0333,80.58,72,75,16.55,broken clouds,PF,2021-04-10 21:30:15
51,Saint-Philippe,-21.3585,55.7679,78.8,69,0,3.44,light rain,RE,2021-04-10 21:30:15
52,Puerto Ayora,-0.7393,-90.3518,79.0,83,40,9.22,light rain,EC,2021-04-10 21:30:15
53,Vaini,-21.2,-175.2,80.6,74,40,4.61,scattered clouds,TO,2021-04-10 21:30:16
54,Celestun,20.8667,-90.4,84.81,70,12,12.48,few clouds,MX,2021-04-10 21:30:16
55,Grand Gaube,-20.0064,57.6608,80.01,75,100,4.0,overcast clouds,MU,2021-04-10 21:30:16
56,Port Alfred,-33.5906,26.891,70.29,91,87,2.73,overcast clouds,ZA,2021-04-10 21:30:17
57,Laguna,38.421,-121.4238,78.01,35,1,8.05,clear sky,US,2021-04-10 21:30:17
58,Airai,-8.9266,125.4092,58.41,79,90,1.66,overcast clouds,TL,2021-04-10 21:30:17
59,Abu Samrah,35.3029,37.1841,46.56,72,36,17.38,scattered clouds,SY,2021-04-10 21:30:18
60,Saint-Augustin,51.226,-58.6502,35.65,80,99,12.46,overcast clouds,CA,2021-04-10 21:26:54
61,Jamalpur,24.9167,89.9333,75.51,73,0,3.89,clear sky,BD,2021-04-10 21:30:18
62,Samarinda,-0.5,117.15,74.32,93,96,1.92,overcast clouds,ID,2021-04-10 21:30:19
63,Nanortalik,60.1432,-45.2371,35.28,84,92,11.52,overcast clouds,GL,2021-04-10 21:30:19
64,Port Elizabeth,-33.918,25.5701,62.6,94,75,3.44,broken clouds,ZA,2021-04-10 21:30:20
65,Bluff,-46.6,168.3333,61.0,90,82,3.0,broken clouds,NZ,2021-04-10 21:30:20
66,Yellowknife,62.456,-114.3525,10.0,52,40,10.36,scattered clouds,CA,2021-04-10 21:30:20
67,Mar Del Plata,-38.0023,-57.5575,66.99,88,90,16.11,light rain,AR,2021-04-10 21:29:11
68,Victoria,22.2855,114.1577,71.01,80,61,1.01,broken clouds,HK,2021-04-10 21:30:08
69,Labuhan,-6.8844,112.2051,77.43,89,90,6.06,light rain,ID,2021-04-10 21:30:21
70,Half Moon Bay,37.4636,-122.4286,68.0,67,1,19.57,haze,US,2021-04-10 21:30:21
71,Semnan,35.5729,53.3971,69.55,27,99,4.94,overcast clouds,IR,2021-04-10 21:30:22
72,Ahuimanu,21.4447,-157.8378,77.0,53,20,5.75,few clouds,US,2021-04-10 21:30:22
73,Kaeo,-35.1,173.7833,66.0,98,31,1.59,scattered clouds,NZ,2021-04-10 21:30:22
74,Ginir,7.1333,40.7,59.99,70,98,5.5,overcast clouds,ET,2021-04-10 21:30:23
75,Carnarvon,-24.8667,113.6333,78.8,83,99,14.97,overcast clouds,AU,2021-04-10 21:30:23
76,Ovre Ardal,61.3167,7.8,10.9,96,34,4.03,scattered clouds,NO,2021-04-10 21:30:23
77,Hithadhoo,-0.6,73.0833,83.08,70,67,13.22,broken clouds,MV,2021-04-10 21:30:24
78,Guerrero Negro,27.9769,-114.0611,66.78,59,100,17.83,overcast clouds,MX,2021-04-10 21:30:24
79,Kahului,20.8947,-156.47,78.8,57,20,11.5,few clouds,US,2021-04-10 21:30:24
80,Saint Anthony,45.0205,-93.218,48.2,66,90,11.5,overcast clouds,US,2021-04-10 21:30:25
81,Ribeira Grande,38.5167,-28.7,62.6,94,75,11.5,light intensity drizzle,PT,2021-04-10 21:30:25
82,Tasiilaq,65.6145,-37.6368,37.4,44,3,5.75,clear sky,GL,2021-04-10 21:30:26
83,Rio Gallegos,-51.6226,-69.2181,62.6,34,0,20.71,clear sky,AR,2021-04-10 21:30:26
84,Cape Town,-33.9258,18.4232,64.0,88,0,10.36,clear sky,ZA,2021-04-10 21:27:38
85,Geraldton,-28.7667,114.6,75.2,53,75,21.85,broken clouds,AU,2021-04-10 21:30:26
86,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,76.53,95,69,2.86,broken clouds,BR,2021-04-10 21:30:27
87,Arraial Do Cabo,-22.9661,-42.0278,77.0,69,0,12.66,clear sky,BR,2021-04-10 21:30:27
88,Cabo San Lucas,22.8909,-109.9124,80.01,65,40,3.44,scattered clouds,MX,2021-04-10 21:29:04
89,Plettenberg Bay,-34.0527,23.3716,62.47,77,100,2.42,overcast clouds,ZA,2021-04-10 21:30:28
90,Twin Falls,42.3505,-114.6445,62.6,17,1,19.57,clear sky,US,2021-04-10 21:30:28
91,Narsaq,60.9167,-46.05,42.8,61,34,5.75,scattered clouds,GL,2021-04-10 21:30:28
92,Sioux Lookout,50.1001,-91.917,39.2,87,90,6.91,overcast clouds,CA,2021-04-10 21:30:28
93,Chakulia,22.4833,86.7167,79.88,62,0,2.68,clear sky,IN,2021-04-10 21:30:29
94,Lagoa,39.05,-27.9833,59.49,94,100,19.71,overcast clouds,PT,2021-04-10 21:30:29
95,Kruisfontein,-34.0033,24.7314,57.99,96,100,3.62,overcast clouds,ZA,2021-04-10 21:30:29
96,Panaba,21.2833,-88.2667,100.02,28,13,14.12,few clouds,MX,2021-04-10 21:30:30
97,Yar-Sale,66.8333,70.8333,33.64,89,84,13.89,broken clouds,RU,2021-04-10 21:30:30
98,Khatanga,71.9667,102.5,13.37,83,100,11.45,overcast clouds,RU,2021-04-10 21:30:31
99,Bandarbeyla,9.4942,50.8122,78.35,72,0,7.02,clear sky,SO,2021-04-10 21:30:31
100,Moranbah,-22.0016,148.0466,76.08,64,53,11.36,broken clouds,AU,2021-04-10 21:30:31
101,Inirida,3.8653,-67.9239,73.54,97,100,1.54,light rain,CO,2021-04-10 21:30:32
102,Berdigestyakh,62.0989,126.6992,9.34,94,100,7.2,light snow,RU,2021-04-10 21:30:32
103,Lasa,46.6166,10.7002,50.0,87,75,5.75,broken clouds,IT,2021-04-10 21:30:32
104,Nantucket,41.2835,-70.0995,51.01,87,90,11.5,overcast clouds,US,2021-04-10 21:27:51
105,Malakal,9.5334,31.6605,89.62,10,44,3.85,scattered clouds,SS,2021-04-10 21:30:33
106,Neyshabur,36.2133,58.7958,63.95,29,76,5.12,broken clouds,IR,2021-04-10 21:30:33
107,Peski,55.2163,38.7626,37.4,52,0,4.47,clear sky,RU,2021-04-10 21:30:34
108,Constitucion,-35.3333,-72.4167,57.43,72,0,14.0,clear sky,CL,2021-04-10 21:30:34
109,Ramotswa,-24.8716,25.8699,66.2,63,0,3.44,clear sky,BW,2021-04-10 21:30:34
110,Mnogovershinnyy,53.9353,139.9242,32.59,80,100,7.02,overcast clouds,RU,2021-04-10 21:30:35
111,Along,28.1667,94.7667,59.72,94,19,1.99,few clouds,IN,2021-04-10 21:30:35
112,Miranda,3.2499,-76.2281,84.2,58,75,14.97,broken clouds,CO,2021-04-10 21:30:35
113,Hofn,64.2539,-15.2082,31.64,50,93,5.48,overcast clouds,IS,2021-04-10 21:30:36
114,New Norfolk,-42.7826,147.0587,42.01,83,99,1.99,light rain,AU,2021-04-10 21:30:36
115,Bone,51.9669,12.1396,46.0,92,100,4.0,light rain,DE,2021-04-10 21:30:36
116,Acari,-15.4311,-74.6158,74.5,72,31,8.88,scattered clouds,PE,2021-04-10 21:30:37
117,Lebu,-37.6167,-73.65,55.06,79,0,9.78,clear sky,CL,2021-04-10 21:30:37
118,Prata,-19.3072,-48.9242,71.96,45,0,5.53,clear sky,BR,2021-04-10 21:30:38
119,Mahebourg,-20.4081,57.7,78.8,83,40,12.66,scattered clouds,MU,2021-04-10 21:30:38
120,Batagay-Alyta,67.8006,130.4114,-11.18,80,5,5.79,clear sky,RU,2021-04-10 21:30:38
121,Saldanha,-33.0117,17.9442,60.8,88,100,12.35,overcast clouds,ZA,2021-04-10 21:30:39
122,Lagos,6.5833,3.75,75.2,94,75,17.27,light rain,NG,2021-04-10 21:30:39
123,Ubinskoye,55.3068,79.6802,28.65,98,56,5.66,broken clouds,RU,2021-04-10 21:30:39
124,Butaritari,3.0707,172.7902,81.77,78,99,12.88,overcast clouds,KI,2021-04-10 21:30:40
125,Katherine,-14.4667,132.2667,73.4,83,75,3.51,broken clouds,AU,2021-04-10 21:30:40
126,Urengoy,65.9667,78.3667,21.42,93,66,7.02,broken clouds,RU,2021-04-10 21:30:41
127,Southbridge,42.0751,-72.0334,73.0,54,73,7.0,broken clouds,US,2021-04-10 21:30:41
128,Aabybro,57.1584,9.7367,35.6,87,0,3.44,clear sky,DK,2021-04-10 21:30:41
129,Cuamba,-14.8031,36.5372,65.21,97,95,3.15,overcast clouds,MZ,2021-04-10 21:30:42
130,Hualmay,-11.0964,-77.6139,71.51,81,45,6.42,scattered clouds,PE,2021-04-10 21:30:42
131,Fairbanks,64.8378,-147.7164,10.99,40,1,9.22,clear sky,US,2021-04-10 21:27:21
132,Coquimbo,-29.9533,-71.3436,64.4,63,0,16.11,clear sky,CL,2021-04-10 21:30:42
133,Caravelas,-17.7125,-39.2481,74.82,80,1,5.1,clear sky,BR,2021-04-10 21:30:43
134,Presidencia Roque Saenz Pena,-26.7852,-60.4388,90.0,59,85,1.99,overcast clouds,AR,2021-04-10 21:30:43
135,Bogovarovo,58.9785,47.0246,26.11,98,22,3.87,few clouds,RU,2021-04-10 21:30:43
136,Bethel,41.3712,-73.414,68.0,71,62,7.92,broken clouds,US,2021-04-10 21:30:44
137,Bilibino,68.0546,166.4372,-0.35,69,99,3.33,overcast clouds,RU,2021-04-10 21:30:44
138,Talnakh,69.4865,88.3972,30.04,97,100,7.14,light snow,RU,2021-04-10 21:30:44
139,Gat,31.61,34.7642,55.99,56,39,1.99,scattered clouds,IL,2021-04-10 21:30:45
140,Portobelo,9.55,-79.65,84.0,74,100,21.99,overcast clouds,PA,2021-04-10 21:30:45
141,Farmington,36.7281,-108.2187,70.0,6,1,12.66,clear sky,US,2021-04-10 21:29:08
142,Tura,25.5198,90.2201,71.92,70,0,4.29,clear sky,IN,2021-04-10 21:30:46
143,Te Anau,-45.4167,167.7167,55.36,96,99,2.51,light rain,NZ,2021-04-10 21:30:46
144,Rocha,-34.4833,-54.3333,66.88,99,100,7.18,heavy intensity rain,UY,2021-04-10 21:30:46
145,Agustin Codazzi,10.0341,-73.2361,84.09,69,90,4.23,overcast clouds,CO,2021-04-10 21:30:47
146,Kuryk,43.2,51.65,64.54,37,31,8.08,scattered clouds,KZ,2021-04-10 21:30:47
147,Meulaboh,4.1363,96.1285,77.29,86,62,4.12,broken clouds,ID,2021-04-10 21:30:47
148,Ternate,0.8,127.4,80.92,75,96,3.87,overcast clouds,ID,2021-04-10 21:30:48
149,Tabou,4.423,-7.3528,79.92,84,100,6.85,overcast clouds,CI,2021-04-10 21:30:48
150,Kavieng,-2.5744,150.7967,81.77,74,100,8.79,overcast clouds,PG,2021-04-10 21:30:48
151,Severo-Kurilsk,50.6789,156.125,29.88,75,92,22.32,overcast clouds,RU,2021-04-10 21:30:49
152,College,64.8569,-147.8028,10.0,40,40,4.61,scattered clouds,US,2021-04-10 21:30:49
153,Charters Towers,-20.1,146.2667,75.9,56,7,5.91,clear sky,AU,2021-04-10 21:30:49
154,Johnson City,36.3134,-82.3535,64.4,88,90,9.78,overcast clouds,US,2021-04-10 21:30:50
155,Kaitangata,-46.2817,169.8464,63.0,65,58,1.99,broken clouds,NZ,2021-04-10 21:30:50
156,Sao Jose Do Belmonte,-7.8614,-38.7597,79.14,54,92,10.33,overcast clouds,BR,2021-04-10 21:30:50
157,Chuy,-33.6971,-53.4616,67.78,93,100,16.13,moderate rain,UY,2021-04-10 21:30:51
158,Sarakhs,36.5449,61.1577,62.6,45,36,2.3,scattered clouds,IR,2021-04-10 21:30:51
159,Ancud,-41.8697,-73.8203,55.0,82,90,11.5,light rain,CL,2021-04-10 21:30:51
160,Arona,28.0996,-16.681,68.0,72,20,8.05,few clouds,ES,2021-04-10 21:30:52
161,Russell,32.3502,-85.1999,71.6,68,75,4.61,broken clouds,US,2021-04-10 21:30:52
162,Sunbury,-37.5833,144.7333,46.99,81,75,17.27,light rain,AU,2021-04-10 21:30:52
163,Prince Rupert,54.3161,-130.3201,37.4,87,90,5.75,light rain,CA,2021-04-10 21:27:33
164,Sept-Iles,50.2001,-66.3821,37.99,60,20,9.22,few clouds,CA,2021-04-10 21:30:02
165,Siderno,38.2779,16.302,54.0,76,85,8.05,overcast clouds,IT,2021-04-10 21:30:53
166,Ponta Do Sol,32.6667,-17.1,61.0,70,91,1.99,overcast clouds,PT,2021-04-10 21:30:53
167,San Borja,-14.8167,-66.85,75.16,95,100,1.25,overcast clouds,BO,2021-04-10 21:30:54
168,Muncar,-8.4333,114.3333,76.6,90,90,2.04,overcast clouds,ID,2021-04-10 21:30:54
169,Itoman,26.1247,127.6694,69.8,73,40,17.27,scattered clouds,JP,2021-04-10 21:30:54
170,Codajas,-3.8367,-62.0569,79.84,82,99,1.97,overcast clouds,BR,2021-04-10 21:30:55
171,Ketchikan,55.3422,-131.6461,37.4,93,90,3.44,light rain,US,2021-04-10 21:30:55
172,Calamar,10.2511,-74.9146,86.0,58,40,3.44,scattered clouds,CO,2021-04-10 21:30:55
173,Ust-Kulom,61.6864,53.6902,26.1,98,17,2.8,few clouds,RU,2021-04-10 21:30:56
174,Savinskiy,62.9342,40.1361,37.35,94,100,13.24,overcast clouds,RU,2021-04-10 21:30:56
175,Tondano,1.3038,124.9112,73.4,94,40,2.3,scattered clouds,ID,2021-04-10 21:30:56
176,Saint-Francois,46.4154,3.9054,53.6,62,0,10.36,clear sky,FR,2021-04-10 21:30:57
177,Kenner,29.9941,-90.2417,78.8,61,40,9.22,scattered clouds,US,2021-04-10 21:29:11
178,Bengkulu,-3.8004,102.2655,74.88,88,71,4.14,broken clouds,ID,2021-04-10 21:30:57
179,Mahajanga,-15.7167,46.3167,77.0,94,20,3.44,few clouds,MG,2021-04-10 21:30:58
180,Nome,64.5011,-165.4064,10.99,44,75,24.16,broken clouds,US,2021-04-10 21:30:58
181,Lorengau,-2.0226,147.2712,81.41,83,100,14.03,moderate rain,PG,2021-04-10 21:30:58
182,East London,-33.0153,27.9116,70.3,90,71,2.46,broken clouds,ZA,2021-04-10 21:30:59
183,Souillac,-20.5167,57.5167,78.8,83,40,12.66,scattered clouds,MU,2021-04-10 21:30:59
184,Palmer,42.1584,-72.3287,77.0,38,40,10.36,scattered clouds,US,2021-04-10 21:28:12
185,Dikson,73.5069,80.5464,17.17,90,90,21.12,overcast clouds,RU,2021-04-10 21:30:59
186,Chenzhou,25.8,113.0333,60.04,95,98,1.5,light rain,CN,2021-04-10 21:31:00
187,Casper,42.8666,-106.3131,64.4,12,1,21.85,clear sky,US,2021-04-10 21:31:00
188,Leningradskiy,69.3833,178.4167,-7.11,95,100,1.41,overcast clouds,RU,2021-04-10 21:31:01
189,Vao,-22.6667,167.4833,77.11,89,100,24.9,light rain,NC,2021-04-10 21:31:01
190,Conde,-7.2597,-34.9075,77.0,100,75,6.91,broken clouds,BR,2021-04-10 21:31:01
191,Provideniya,64.3833,-173.3,1.85,78,100,22.26,overcast clouds,RU,2021-04-10 21:31:02
192,Businga,3.3333,20.8833,74.32,83,100,2.86,overcast clouds,CD,2021-04-10 21:31:02
193,Griffith,41.5284,-87.4237,54.0,100,90,3.44,moderate rain,US,2021-04-10 21:31:02
194,Burns Lake,54.2331,-125.7533,35.6,41,97,10.36,overcast clouds,CA,2021-04-10 21:31:03
195,Sola,-13.8833,167.55,82.4,94,75,2.53,broken clouds,VU,2021-04-10 21:31:03
196,Ambulu,-8.345,113.6058,75.43,90,26,3.29,scattered clouds,ID,2021-04-10 21:31:03
197,Mount Gambier,-37.8333,140.7667,50.0,81,75,26.46,broken clouds,AU,2021-04-10 21:31:04
198,Kampong Cham,11.9934,105.4635,79.86,77,80,3.29,broken clouds,KH,2021-04-10 21:30:06
199,Ronne,55.1009,14.7066,35.6,87,20,4.81,few clouds,DK,2021-04-10 21:31:04
200,Norrtalje,59.758,18.705,43.0,52,0,4.0,clear sky,SE,2021-04-10 21:31:05
201,Nikolskoye,59.7035,30.7861,36.0,80,0,4.47,clear sky,RU,2021-04-10 21:31:05
202,Alofi,-19.0595,-169.9187,80.6,78,6,8.05,clear sky,NU,2021-04-10 21:31:05
203,Bissora,12.2231,-15.4475,74.66,70,7,7.58,clear sky,GW,2021-04-10 21:31:06
204,Taoudenni,22.6783,-3.9836,87.01,14,0,10.6,clear sky,ML,2021-04-10 21:31:06
205,El Campo,29.1966,-96.2697,82.99,21,1,11.5,clear sky,US,2021-04-10 21:31:07
206,Gribanovskiy,51.4579,41.9764,39.0,89,99,10.67,overcast clouds,RU,2021-04-10 21:31:07
207,Tilichiki,60.4667,166.1,8.51,81,100,19.84,overcast clouds,RU,2021-04-10 21:31:07
208,Turukhansk,65.8167,87.9833,31.93,98,100,10.78,snow,RU,2021-04-10 21:31:08
209,Cherskiy,68.75,161.3,-10.68,83,70,1.68,broken clouds,RU,2021-04-10 21:31:08
210,Peringat,6.0333,102.2833,78.8,94,20,3.0,few clouds,MY,2021-04-10 21:31:08
211,Jamestown,42.097,-79.2353,75.2,27,40,11.5,scattered clouds,US,2021-04-10 21:29:00
212,Georgetown,5.4112,100.3354,79.0,94,20,3.44,few clouds,MY,2021-04-10 21:28:10
213,Sakakah,29.9697,40.2064,60.8,29,0,14.97,clear sky,SA,2021-04-10 21:31:09
214,Blytheville,35.9273,-89.919,68.0,45,75,23.02,broken clouds,US,2021-04-10 21:30:22
215,Umea,63.8284,20.2597,28.4,93,0,9.69,clear sky,SE,2021-04-10 21:31:10
216,Mount Pleasant,32.7941,-79.8626,75.0,83,20,10.36,few clouds,US,2021-04-10 21:27:26
217,Horta,38.5333,-28.6333,62.6,94,75,11.5,light intensity drizzle,PT,2021-04-10 21:31:10
218,Breyten,-26.3018,29.987,53.42,68,0,1.39,clear sky,ZA,2021-04-10 21:31:11
219,Yabassi,4.457,9.9682,80.6,89,75,2.3,broken clouds,CM,2021-04-10 21:31:11
220,Tautira,-17.7333,-149.15,87.8,62,75,5.75,light rain,PF,2021-04-10 21:31:12
221,Hasaki,35.7333,140.8333,42.8,93,20,5.75,few clouds,JP,2021-04-10 21:31:12
222,Norman Wells,65.282,-126.8329,-5.8,71,90,8.05,light snow,CA,2021-04-10 21:31:12
223,Mosalsk,54.4881,34.9817,37.0,75,1,8.19,clear sky,RU,2021-04-10 21:31:13
224,Paamiut,61.994,-49.6678,31.77,94,22,9.19,few clouds,GL,2021-04-10 21:31:13
225,Kannod,22.6667,76.7333,85.75,18,84,4.79,broken clouds,IN,2021-04-10 21:31:13
226,Thompson,55.7435,-97.8558,39.2,56,40,8.05,scattered clouds,CA,2021-04-10 21:31:14
227,Yasnyy,51.0333,59.8742,33.12,98,97,9.37,overcast clouds,RU,2021-04-10 21:31:14
